화면 ID	화면 이름			유형	주요 구성	액션·이동	정책·비고
PKS-RP-002	리포트 탭	레슨별 리포트 보기		푸시	완료한 레슨 리스트	레슨 선택 터치 ➔ PKS-RP-004	• 과정별 카테고리로 분류
PKS-RP-003	리포트 탭	1MP 갤러리		푸시	완료한 1MP 리스트	1MP 선택 터치 ➔ PKS-RP-005	
PKS-RP-004	리포트 탭	레슨별 리포트 보기	레슨별 리포트 상세	푸시	레슨 리포트 상세		
PKS-RP-005	리포트 탭	1MP 갤러리	1MP 	푸시	개별 1MP 다시보기와 피드백		
PKS-MY-001	MY			탭루트	섹션1_계정 - 영어 닉네임(수정) - CEFR 레벨 - 현재 수강 요약 - 로그아웃	닉네임 수정 아이콘 터치  ➔ PKS-MY-002  로그아웃 ➔ 세션 종료	• 영어 닉네임: AI 캐릭터 호명 및 챌린지 랭킹 공통 사용 • 입력 가능 문자/글자 수/중복 여부/금칙어 정책 확인 필요 • CEFR 레벨: 픽클래스 내부 산정 결과를 기준으로 표시
					섹션2_수강내역 보러가기	PKS-MY-003	
					섹션3_수업 설정	PKS-MY-004	
					섹션4_앱 설정	PKS-MY-005	
					섹션5_알림	PKS-MY-006	
PKS-MY-002	MY	영어 닉네임(수정)		바텀시트	- 닉네임 입력창  - 버튼(저장 / 취소)	저장 / 취소 ➔ PKS-MY-001	
PKS-MY-003	MY	수강 내역 리스트		푸시	수강 리스트(완료 수강 내역 옆엔  각각 리포트 버튼)	리포트 터치 ➔ PKS-RP-001	• 수강내역 각 항목: 수강명/CEFR/기간/이수율 /상태(수강 중/종료) • 모든 완료 수강 내역 옆 리포트 버튼 노출 • 리포트 이동 시 선택한 수강 기간을 조회 조건으로 전달
PKS-MY-004	MY	수업 설정		푸시	- 학습 시간 설정 - 학습 알림 설정 - AI 캐릭터 페르소나 설정	학습 시간 터치 ➔ PKS-MY-007 학습 알림 터치 ➔ PKS-MY-008 페르소나 터치 ➔ PKS-MY-009	
PKS-MY-005	MY	앱 설정		바텀시트	- 사운드 설정(크기 조정)		
PKS-MY-006	MY	알림 내역		푸시	- 알림 내역 리스트	PKS-MY-010	
PKS-MY-007	MY	수업 설정 상세	학습 시간 설정	바텀시트	목표 학습 시간 입력		• 학습 시간 설정: 일일 목표 학습 시간(분 단위)
PKS-MY-008	MY	수업 설정 상세	학습 알림 설정	바텀시트	알림 시간 / 방해금지 설정		• 학습 알림 설정: 매일 지정 시각 푸시. 전화모드 ON/OFF 포함
PKS-MY-009	MY	수업 설정 상세	AI캐릭터 페르소나 설정	바텀시트	페르소나 선택(발음)		• 성별·속도 옵션은 v2 이후 검토
PKS-MY-010	MY	알림 내역	알림 상세	푸시	알림 상세		
							
							
PKS-FL	풀스크린 오버레이						
PKS-HM	홈 						
PKS-CL	수업 						
PKS-CH 	챌린지						
PKS-RP	리포트 						
PKS-MY 	마이페이지						
